DateTime,AddedIPs,RemovedIPs
1580575015,0,87
1580576930,0,113
1580578834,0,205
1580580893,1,145
1580582903,0,6
1580584867,1,0
1580586756,2,6
1580588681,1,0
1580590623,3,2
1580592535,1,0
1580594788,1,2
1580596597,0,3
1580600426,1,0
1580602397,0,1
1580604281,4,0
1580608116,1,2
1580610024,0,2
1580611937,0,4
1580613873,1,0
1580615783,0,3
1580619997,3,4
1580622021,0,1
1580625875,1,2
1580629727,0,2
1580631618,0,1
1580633538,1,1
1580637384,2,0
1580639300,0,1
1580641455,0,1
1580643386,1,0
1580645320,0,1
1580651062,2,5
1580652983,1,0
1580654926,2,4
1580656847,1,1
1580658744,4,2
1580660675,2,0
1580664508,1,0
1580666621,0,1
1580668852,3,0
1580670752,0,1
1580672676,0,2
1580674596,0,1
1580676745,3,3
1580678663,0,1
1580680615,0,2
1580684647,1,0
1580686574,2,1
1580690414,0,4
1580694257,1,1
1580698114,2,0
1580701936,2,1
1580703877,1,0
1580705774,2,3
1580709870,1,0
1580711777,2,1
1580715859,6,0
1580719716,2,1
1580723536,6,2
1580725491,1,0
1580727382,5,0
1580729296,1,0
1580731464,2,1
1580733387,4,0
1580735305,2,0
1580737215,4,2
1580739179,0,1
1580741056,5,2
1580743479,1,1
1580745380,9,5
1580747322,0,2
1580749307,3,0
1580751139,7,1
1580753013,2,0
1580755101,4,2
1580756916,3,0
1580758815,1,0
1580762666,1,3
1580764601,1,0
1580766516,1,0
1580770369,2,1
1580772258,1,0
1580774189,2,2
1580778151,1,0
1580780196,2,0
1580782213,0,1
1580784029,2,2
1580786062,2,0
1580787886,1,2
1580789778,1,0
1580791696,9,3
1580795534,2,1
1580799388,1,2
1580801291,2,1
1580803366,3,5
1580805198,7,2
1580807093,1,0
1580808976,4,6
1580810914,0,1
1580812827,2,5
1580814744,1,1
1580816688,8,2
1580820748,5,4
1580822677,0,2
1580824599,5,4
1580828629,2,5
1580830588,1,10
1580832493,0,1
1580834420,3,3
1580836369,1,0
1580838255,3,9
1580840455,0,1
1580842287,0,5
1580844268,1,1
1580846189,2,1
1580850088,1,1
1580851938,2,2
1580853815,1,0
1580855774,1,2
1580857707,0,1
1580859615,0,1
1580861559,0,1
1580863452,1,0
1580865401,0,1
1580867310,0,2
1580871133,0,3
1580873079,0,1
1580874975,1,1
1580877139,5,4
1580878983,0,6
1580880797,1,2
1580884579,1,1
1580886510,1,1
1580888430,5,3
1580890337,0,1
1580892267,2,7
1580894178,1,1
1580896098,1,4
1580898022,2,0
1580899934,2,2
1580901889,1,2
1580903770,4,7
1580905701,0,1
1580907825,4,4
1580909778,1,4
1580911717,0,1
1580913616,0,2
1580917463,2,1
1580921300,2,3
1580923223,0,1
1580925136,0,3
1580927058,1,0
1580930906,0,1
1580933014,2,2
1580935026,1,1
1580936923,1,1
1580938817,2,1
1580940739,0,1
1580942667,2,1
1580944609,1,0
1580946513,1,0
1580948441,1,0
1580950332,2,1
1580954189,1,0
1580956100,1,0
1580960204,2,1
1580962105,1,0
1580964041,1,5
1580965978,1,0
1580967876,0,1
1580969783,1,0
1580971709,1,1
1580973612,36,2
1580975541,1,3
1580979374,2,2
1580981300,0,1
1580983528,4,2
1580985389,2,3
1580987310,0,1
1580989214,1,4
1580993056,1,4
1580997176,2,1
1581000975,3,0
1581002912,0,1
1581004963,0,1
1581006974,0,1
1581010820,1,0
1581012740,0,1
1581016580,1,0
1581018754,0,1
1581020678,0,2
1581022583,0,1
1581024500,1,2
1581028605,1,2
1581030510,0,1
1581032434,0,1
1581034359,0,1
1581036264,2,2
1581038193,1,0
1581040121,0,1
1581043938,2,1
1581045876,0,2
1581047782,1,1
1581049700,0,1
1581052581,1,1
1581054511,3,1
1581058336,6,1
1581060277,49,0
1581062180,642,1
1581066285,1,1
1581068194,1,0
1581070115,1,0
1581075859,1,0
1581077801,8,0
1581079715,0,1
1581083544,0,1
1581087398,0,1
1581095332,1,0
1581097227,1,0
1581101096,1,0
